id,station,datetime,direction,temperature,NO23,PO4,NO2,NO3,NH4
1,Sand,2018-08-12T08:50:00Z,Flood tide,30.9,0.264,0.154,0.061,0.203,0.665
2,Canopy edge,2018-08-12T08:50:00Z,Flood tide,30.9,0.059,0.139,0.020,0.038,0.400
3,Canopy interior,2018-08-12T08:50:00Z,Flood tide,30.9,0.051,0.139,0.023,0.029,0.102
4,Control,2018-08-12T08:50:00Z,Flood tide,30.9,0.094,0.128,0.034,0.060,0.430
1,Sand,2018-08-12T15:10:00Z,Ebb tide,31.3,1.004,0.229,0.073,0.930,0.533
2,Canopy edge,2018-08-12T15:10:00Z,Ebb tide,31.3,0.143,0.149,0.039,0.104,0.696
3,Canopy interior,2018-08-12T15:10:00Z,Ebb tide,31.3,0.149,0.132,0.031,0.119,0.245
4,Control,2018-08-12T15:10:00Z,Ebb tide,31.3,0.099,0.137,0.039,0.060,0.172
1,Sand,2018-08-12T21:40:00Z,Flood tide,28.1,0.043,0.093,0.029,0.013,0.300
2,Canopy edge,2018-08-12T21:40:00Z,Flood tide,28.1,0.018,0.128,0.025,0.000,0.144
3,Canopy interior,2018-08-12T21:40:00Z,Flood tide,28.1,0.020,0.125,0.022,0.000,0.075
4,Control,2018-08-12T21:40:00Z,Flood tide,28.1,0.058,0.117,0.027,0.032,0.437
1,Sand,2018-08-13T09:30:00Z,Flood tide,32.9,0.113,0.137,0.030,0.083,0.265
2,Canopy edge,2018-08-13T09:30:00Z,Flood tide,32.9,0.062,0.110,0.040,0.023,0.261
3,Canopy interior,2018-08-13T09:30:00Z,Flood tide,32.9,0.052,0.143,0.027,0.025,0.150
4,Control,2018-08-13T09:30:00Z,Flood tide,32.9,0.087,0.131,0.037,0.050,0.172
1,Sand,2018-08-13T15:50:00Z,Ebb tide,31.4,0.311,0.159,0.056,0.255,0.367
2,Canopy edge,2018-08-13T15:50:00Z,Ebb tide,31.4,0.033,0.147,0.030,0.004,0.453
3,Canopy interior,2018-08-13T15:50:00Z,Ebb tide,31.4,0.026,0.134,0.028,0.000,0.100
4,Control,2018-08-13T15:50:00Z,Ebb tide,31.4,0.047,0.110,0.030,0.017,0.782
1,Sand,2018-08-13T22:10:00Z,Flood tide,27.8,0.091,0.140,0.034,0.056,0.218
2,Canopy edge,2018-08-13T22:10:00Z,Flood tide,27.8,0.020,0.126,0.030,0.000,0.253
3,Canopy interior,2018-08-13T22:10:00Z,Flood tide,27.8,0.021,0.141,0.029,0.000,0.482
4,Control,2018-08-13T22:10:00Z,Flood tide,27.8,0.130,0.143,0.048,0.082,0.140
1,Sand,2018-08-14T10:00:00Z,Flood tide,31.3,0.157,0.144,0.044,0.113,0.522
2,Canopy edge,2018-08-14T10:00:00Z,Flood tide,31.3,0.074,0.142,0.030,0.044,0.572
3,Canopy interior,2018-08-14T10:00:00Z,Flood tide,31.3,0.068,0.145,0.030,0.038,0.168
4,Control,2018-08-14T10:00:00Z,Flood tide,31.3,0.146,0.163,0.059,0.086,0.791
1,Sand,2018-08-14T16:20:00Z,Ebb tide,31.6,0.084,0.114,0.038,0.046,0.428
2,Canopy edge,2018-08-14T16:20:00Z,Ebb tide,31.6,0.039,0.123,0.028,0.011,0.321
3,Canopy interior,2018-08-14T16:20:00Z,Ebb tide,31.6,0.036,0.129,0.023,0.014,0.110
4,Control,2018-08-14T16:20:00Z,Ebb tide,31.6,0.170,0.138,0.048,0.122,0.287
1,Sand,2018-08-14T22:40:00Z,Flood tide,27.8,0.290,0.142,0.061,0.229,0.261
2,Canopy edge,2018-08-14T22:40:00Z,Flood tide,27.8,0.144,0.205,0.027,0.117,0.434
3,Canopy interior,2018-08-14T22:40:00Z,Flood tide,27.8,0.026,0.179,0.024,0.003,0.160
4,Control,2018-08-14T22:40:00Z,Flood tide,27.8,NA,NA,NA,NA,NA
1,Sand,2018-08-15T10:40:00Z,Flood tide,29.2,0.130,0.186,0.062,0.068,0.621
2,Canopy edge,2018-08-15T10:40:00Z,Flood tide,29.2,0.075,0.181,0.035,0.040,0.431
3,Canopy interior,2018-08-15T10:40:00Z,Flood tide,29.2,0.051,0.177,0.026,0.025,0.154
4,Control,2018-08-15T10:40:00Z,Flood tide,29.2,0.216,0.171,0.048,0.168,0.286
1,Sand,2018-08-15T17:00:00Z,Ebb tide,29.4,0.080,0.157,0.032,0.047,0.382
2,Canopy edge,2018-08-15T17:00:00Z,Ebb tide,29.4,0.047,0.159,0.017,0.030,0.537
3,Canopy interior,2018-08-15T17:00:00Z,Ebb tide,29.4,0.042,0.174,0.014,0.028,0.220
4,Control,2018-08-15T17:00:00Z,Ebb tide,29.4,0.178,0.158,0.048,0.130,0.332
1,Sand,2018-08-15T23:10:00Z,Flood tide,25.6,0.231,0.164,0.057,0.174,0.252
2,Canopy edge,2018-08-15T23:10:00Z,Flood tide,25.6,0.199,0.217,0.051,0.149,0.300
3,Canopy interior,2018-08-15T23:10:00Z,Flood tide,25.6,0.085,0.214,0.043,0.042,0.140
4,Control,2018-08-15T23:10:00Z,Flood tide,25.6,0.263,0.202,0.073,0.190,0.541
1,Sand,2018-08-16T11:20:00Z,Flood tide,27.8,0.157,0.175,0.040,0.117,0.377
2,Canopy edge,2018-08-16T11:20:00Z,Flood tide,27.8,0.095,0.170,0.035,0.060,0.407
3,Canopy interior,2018-08-16T11:20:00Z,Flood tide,27.8,0.062,0.160,0.018,0.044,0.143
4,Control,2018-08-16T11:20:00Z,Flood tide,27.8,0.157,0.145,0.047,0.110,0.561
1,Sand,2018-08-16T17:30:00Z,Ebb tide,28,0.630,0.228,0.098,0.531,0.394
2,Canopy edge,2018-08-16T17:30:00Z,Ebb tide,28,0.245,0.232,0.052,0.193,0.327
3,Canopy interior,2018-08-16T17:30:00Z,Ebb tide,28,0.163,0.215,0.040,0.123,0.131
4,Control,2018-08-16T17:30:00Z,Ebb tide,28,0.240,0.168,0.067,0.173,0.330
1,Sand,2018-08-16T23:50:00Z,Flood tide,26.6,0.083,0.136,0.039,0.044,0.179
2,Canopy edge,2018-08-16T23:50:00Z,Flood tide,26.6,0.038,0.160,0.030,0.008,0.178
3,Canopy interior,2018-08-16T23:50:00Z,Flood tide,26.6,0.024,0.148,0.028,0.000,0.219
4,Control,2018-08-16T23:50:00Z,Flood tide,26.6,0.234,0.181,0.056,0.178,0.340
1,Sand,2018-08-17T12:00:00Z,Flood tide,27.6,0.447,0.195,0.125,0.322,0.486
2,Canopy edge,2018-08-17T12:00:00Z,Flood tide,27.6,0.304,0.194,0.095,0.209,0.223
3,Canopy interior,2018-08-17T12:00:00Z,Flood tide,27.6,0.214,0.185,0.071,0.143,0.180
4,Control,2018-08-17T12:00:00Z,Flood tide,27.6,0.302,0.182,0.105,0.197,0.324
1,Sand,2018-08-17T18:10:00Z,Ebb tide,26.1,0.401,0.222,0.107,0.294,0.230
2,Canopy edge,2018-08-17T18:10:00Z,Ebb tide,26.1,0.321,0.215,0.094,0.227,0.138
3,Canopy interior,2018-08-17T18:10:00Z,Ebb tide,26.1,0.085,0.174,0.037,0.048,0.049
4,Control,2018-08-17T18:10:00Z,Ebb tide,26.1,0.303,0.174,0.105,0.197,0.183
1,Sand,2018-08-18T00:20:00Z,Flood tide,25.1,0.477,0.232,0.112,0.365,0.195
2,Canopy edge,2018-08-18T00:20:00Z,Flood tide,25.1,0.364,0.208,0.096,0.268,0.372
3,Canopy interior,2018-08-18T00:20:00Z,Flood tide,25.1,0.301,0.213,0.087,0.214,0.109
4,Control,2018-08-18T00:20:00Z,Flood tide,25.1,0.269,0.180,0.111,0.158,0.446
1,Sand,2018-08-18T13:00:00Z,Flood tide,28.3,0.494,0.232,0.123,0.371,0.276
2,Canopy edge,2018-08-18T13:00:00Z,Flood tide,28.3,0.336,0.217,0.112,0.223,0.376
3,Canopy interior,2018-08-18T13:00:00Z,Flood tide,28.3,0.261,0.191,0.072,0.189,0.265
4,Control,2018-08-18T13:00:00Z,Flood tide,28.3,0.230,0.181,0.106,0.124,0.335
1,Sand,2018-08-18T19:00:00Z,Ebb tide,25.9,0.403,0.234,0.109,0.294,0.292
2,Canopy edge,2018-08-18T19:00:00Z,Ebb tide,25.9,0.371,0.244,0.089,0.283,0.164
3,Canopy interior,2018-08-18T19:00:00Z,Ebb tide,25.9,0.254,0.225,0.078,0.175,0.064
4,Control,2018-08-18T19:00:00Z,Ebb tide,25.9,0.152,0.167,0.077,0.075,0.130
1,Sand,2018-08-19T01:10:00Z,Flood tide,22.9,0.239,0.206,0.082,0.157,0.439
2,Canopy edge,2018-08-19T01:10:00Z,Flood tide,22.9,0.083,0.173,0.054,0.030,0.143
3,Canopy interior,2018-08-19T01:10:00Z,Flood tide,22.9,0.041,0.139,0.043,0.000,0.361
4,Control,2018-08-19T01:10:00Z,Flood tide,22.9,0.107,0.132,0.056,0.051,0.068
1,Sand,2018-08-19T07:40:00Z,Ebb tide,25.8,0.630,0.230,0.117,0.512,0.336
2,Canopy edge,2018-08-19T07:40:00Z,Ebb tide,25.8,0.356,0.220,0.085,0.271,0.351
3,Canopy interior,2018-08-19T07:40:00Z,Ebb tide,25.8,0.250,0.216,0.072,0.179,0.149
4,Control,2018-08-19T07:40:00Z,Ebb tide,25.8,0.192,0.158,0.082,0.111,0.057
1,Sand,2018-08-19T14:10:00Z,Flood tide,29.1,0.095,0.125,0.048,0.046,0.145
2,Canopy edge,2018-08-19T14:10:00Z,Flood tide,29.1,0.159,0.164,0.040,0.118,0.164
3,Canopy interior,2018-08-19T14:10:00Z,Flood tide,29.1,0.088,0.153,0.047,0.041,0.067
4,Control,2018-08-19T14:10:00Z,Flood tide,29.1,0.361,0.193,0.122,0.239,0.719
1,Sand,2018-08-19T20:00:00Z,Ebb tide,25.1,0.087,0.139,0.053,0.034,0.302
2,Canopy edge,2018-08-19T20:00:00Z,Ebb tide,25.1,0.055,0.170,0.029,0.026,0.189
3,Canopy interior,2018-08-19T20:00:00Z,Ebb tide,25.1,0.038,0.140,0.021,0.017,0.032
4,Control,2018-08-19T20:00:00Z,Ebb tide,25.1,0.156,0.139,0.063,0.093,0.060
1,Sand,2018-08-20T02:10:00Z,Flood tide,23.2,0.103,0.164,0.043,0.060,0.066
2,Canopy edge,2018-08-20T02:10:00Z,Flood tide,23.2,0.056,0.197,0.032,0.024,0.223
3,Canopy interior,2018-08-20T02:10:00Z,Flood tide,23.2,0.050,0.160,0.018,0.032,0.149
4,Control,2018-08-20T02:10:00Z,Flood tide,23.2,0.135,0.152,0.057,0.079,0.219
1,Sand,2018-08-20T09:10:00Z,Ebb tide,27.9,0.295,0.155,0.070,0.225,0.235
2,Canopy edge,2018-08-20T09:10:00Z,Ebb tide,27.9,0.151,0.155,0.045,0.106,0.372
3,Canopy interior,2018-08-20T09:10:00Z,Ebb tide,27.9,0.088,0.153,0.032,0.056,0.197
4,Control,2018-08-20T09:10:00Z,Ebb tide,27.9,0.284,0.149,0.063,0.221,0.170
1,Sand,2018-08-20T16:00:00Z,NA,29.2,0.129,0.130,0.041,0.088,0.216
2,Canopy edge,2018-08-20T16:00:00Z,NA,29.2,0.047,0.128,0.025,0.022,0.215
3,Canopy interior,2018-08-20T16:00:00Z,NA,29.2,0.040,0.125,0.025,0.014,0.056
4,Control,2018-08-20T16:00:00Z,NA,29.2,0.322,0.155,0.069,0.253,0.169
1,Sand,2018-08-20T21:40:00Z,NA,27.3,0.095,0.119,0.032,0.063,0.062
2,Canopy edge,2018-08-20T21:40:00Z,NA,27.3,0.030,0.157,0.021,0.009,0.159
3,Canopy interior,2018-08-20T21:40:00Z,NA,27.3,0.007,0.169,0.018,0.000,0.053
4,Control,2018-08-20T21:40:00Z,NA,27.3,0.475,0.175,0.094,0.381,0.120
1,Sand,2018-08-21T03:30:00Z,NA,25.8,0.274,0.176,0.064,0.210,0.132
2,Canopy edge,2018-08-21T03:30:00Z,NA,25.8,0.044,0.197,0.034,0.011,0.337
3,Canopy interior,2018-08-21T03:30:00Z,NA,25.8,0.030,0.170,0.020,0.009,0.077
4,Control,2018-08-21T03:30:00Z,NA,25.8,0.020,0.106,0.017,0.002,0.067
1,Sand,2018-08-21T10:40:00Z,NA,29.8,0.144,0.121,0.045,0.098,0.162
2,Canopy edge,2018-08-21T10:40:00Z,NA,29.8,0.095,0.161,0.042,0.053,0.293
3,Canopy interior,2018-08-21T10:40:00Z,NA,29.8,0.061,0.146,0.023,0.039,0.136
4,Control,2018-08-21T10:40:00Z,NA,29.8,0.407,0.137,0.051,0.357,0.199
1,Sand,2018-08-21T17:40:00Z,NA,29.2,0.272,0.143,0.052,0.220,0.152
2,Canopy edge,2018-08-21T17:40:00Z,NA,29.2,0.070,0.153,0.024,0.045,0.085
3,Canopy interior,2018-08-21T17:40:00Z,NA,29.2,0.056,0.142,0.022,0.034,0.100
4,Control,2018-08-21T17:40:00Z,NA,29.2,0.008,0.112,0.025,0.000,0.097
1,Sand,2018-08-22T05:00:00Z,NA,28.3,NA,NA,NA,NA,NA
2,Canopy edge,2018-08-22T05:00:00Z,NA,28.3,NA,NA,NA,NA,NA
3,Canopy interior,2018-08-22T05:00:00Z,NA,28.3,NA,NA,NA,NA,NA
4,Control,2018-08-22T05:00:00Z,NA,28.3,NA,NA,NA,NA,NA
1,Sand,2018-08-22T11:50:00Z,NA,30.9,NA,NA,NA,NA,NA
2,Canopy edge,2018-08-22T11:50:00Z,NA,30.9,NA,NA,NA,NA,NA
3,Canopy interior,2018-08-22T11:50:00Z,NA,30.9,NA,NA,NA,NA,NA
4,Control,2018-08-22T11:50:00Z,NA,30.9,NA,NA,NA,NA,NA
1,Sand,2018-08-22T18:40:00Z,NA,30.2,NA,NA,NA,NA,NA
2,Canopy edge,2018-08-22T18:40:00Z,NA,30.2,NA,NA,NA,NA,NA
3,Canopy interior,2018-08-22T18:40:00Z,NA,30.2,NA,NA,NA,NA,NA
4,Control,2018-08-22T18:40:00Z,NA,30.2,NA,NA,NA,NA,NA
1,Sand,2018-08-23T06:10:00Z,NA,28.3,1.376,0.280,0.157,1.219,0.450
2,Canopy edge,2018-08-23T06:10:00Z,NA,28.3,1.184,0.286,0.153,1.031,0.644
3,Canopy interior,2018-08-23T06:10:00Z,NA,28.3,1.000,0.298,0.132,0.868,0.535
4,Control,2018-08-23T06:10:00Z,NA,28.3,0.409,0.167,0.074,0.336,0.336
1,Sand,2018-08-23T12:50:00Z,NA,31.3,1.435,0.280,0.147,1.288,0.344
2,Canopy edge,2018-08-23T12:50:00Z,NA,31.3,1.104,0.255,0.116,0.988,0.454
3,Canopy interior,2018-08-23T12:50:00Z,NA,31.3,0.778,0.254,0.099,0.679,0.224
4,Control,2018-08-23T12:50:00Z,NA,31.3,0.067,0.136,0.029,0.038,0.336
1,Sand,2018-08-23T19:30:00Z,Flood tide,28.3,0.085,0.127,0.034,0.051,0.244
2,Canopy edge,2018-08-23T19:30:00Z,Flood tide,28.3,0.077,0.151,0.031,0.046,0.195
3,Canopy interior,2018-08-23T19:30:00Z,Flood tide,28.3,0.051,0.152,0.030,0.021,0.156
4,Control,2018-08-23T19:30:00Z,Flood tide,28.3,0.139,0.135,0.043,0.096,0.182
1,Sand,2018-08-24T07:00:00Z,Flood tide,29.1,0.129,0.148,0.055,0.074,0.316
2,Canopy edge,2018-08-24T07:00:00Z,Flood tide,29.1,0.068,0.164,0.039,0.029,0.204
3,Canopy interior,2018-08-24T07:00:00Z,Flood tide,29.1,0.018,0.189,0.033,0.000,0.205
4,Control,2018-08-24T07:00:00Z,Flood tide,29.1,0.262,0.153,0.085,0.177,0.417
1,Sand,2018-08-24T13:30:00Z,Ebb tide,31.8,0.183,0.155,0.065,0.118,0.451
2,Canopy edge,2018-08-24T13:30:00Z,Ebb tide,31.8,0.070,0.134,0.060,0.010,0.163
3,Canopy interior,2018-08-24T13:30:00Z,Ebb tide,31.8,0.045,0.138,0.046,0.000,0.304
4,Control,2018-08-24T13:30:00Z,Ebb tide,31.8,0.221,0.145,0.094,0.127,0.307
1,Sand,2018-08-24T20:10:00Z,Ebb tide,28.1,0.137,0.131,0.071,0.066,0.234
2,Canopy edge,2018-08-24T20:10:00Z,Ebb tide,28.1,0.082,0.153,0.056,0.026,0.132
3,Canopy interior,2018-08-24T20:10:00Z,Ebb tide,28.1,0.071,0.154,0.059,0.013,0.381
4,Control,2018-08-24T20:10:00Z,Ebb tide,28.1,0.095,0.139,0.066,0.030,0.224
1,Sand,2018-08-25T07:50:00Z,Ebb tide,28.1,0.164,0.130,0.063,0.101,0.404
2,Canopy edge,2018-08-25T07:50:00Z,Ebb tide,28.1,0.124,0.133,0.056,0.068,0.109
3,Canopy interior,2018-08-25T07:50:00Z,Ebb tide,28.1,0.078,0.139,0.047,0.031,0.376
4,Control,2018-08-25T07:50:00Z,Ebb tide,28.1,0.256,0.125,0.088,0.169,0.157
1,Sand,2018-08-25T14:10:00Z,Ebb tide,30.6,0.100,0.118,0.044,0.056,0.148
2,Canopy edge,2018-08-25T14:10:00Z,Ebb tide,30.6,0.066,0.112,0.040,0.026,0.104
3,Canopy interior,2018-08-25T14:10:00Z,Ebb tide,30.6,0.054,0.121,0.036,0.018,0.114
4,Control,2018-08-25T14:10:00Z,Ebb tide,30.6,0.127,0.110,0.046,0.081,0.281
1,Sand,2018-08-25T20:40:00Z,Ebb tide,29,0.042,0.101,0.025,0.017,0.353
2,Canopy edge,2018-08-25T20:40:00Z,Ebb tide,29,0.017,0.113,0.020,0.000,0.110
3,Canopy interior,2018-08-25T20:40:00Z,Ebb tide,29,0.004,0.125,0.017,0.000,0.076
4,Control,2018-08-25T20:40:00Z,Ebb tide,29,0.340,0.124,0.068,0.272,0.177
1,Sand,2018-08-26T08:20:00Z,Ebb tide,28.4,0.330,0.130,0.075,0.255,0.315
2,Canopy edge,2018-08-26T08:20:00Z,Ebb tide,28.4,0.154,0.128,0.045,0.109,0.206
3,Canopy interior,2018-08-26T08:20:00Z,Ebb tide,28.4,0.105,0.127,0.029,0.076,0.738
4,Control,2018-08-26T08:20:00Z,Ebb tide,28.4,0.270,0.117,0.058,0.212,0.128
1,Sand,2018-08-26T14:50:00Z,Flood tide,30.6,0.089,0.113,0.034,0.054,0.543
2,Canopy edge,2018-08-26T14:50:00Z,Flood tide,30.6,0.035,0.105,0.020,0.015,0.211
3,Canopy interior,2018-08-26T14:50:00Z,Flood tide,30.6,0.028,0.110,0.024,0.004,0.111
4,Control,2018-08-26T14:50:00Z,Flood tide,30.6,0.168,0.097,0.045,0.123,0.139
1,Sand,2018-08-26T21:10:00Z,Ebb tide,28.3,0.145,0.113,0.047,0.099,0.334
2,Canopy edge,2018-08-26T21:10:00Z,Ebb tide,28.3,0.031,0.133,0.028,0.004,0.572
3,Canopy interior,2018-08-26T21:10:00Z,Ebb tide,28.3,0.022,0.135,0.020,0.002,0.312
4,Control,2018-08-26T21:10:00Z,Ebb tide,28.3,0.101,0.098,0.045,0.056,0.265
1,Sand,2018-08-27T09:00:00Z,Ebb tide,28.1,0.392,0.138,0.082,0.310,0.200
2,Canopy edge,2018-08-27T09:00:00Z,Ebb tide,28.1,0.291,0.133,0.061,0.230,0.393
3,Canopy interior,2018-08-27T09:00:00Z,Ebb tide,28.1,0.190,0.135,0.046,0.144,0.130
4,Control,2018-08-27T09:00:00Z,Ebb tide,28.1,0.307,0.125,0.070,0.237,0.175
1,Sand,2018-08-27T15:20:00Z,Flood tide,30.2,0.167,0.113,0.041,0.126,0.333
2,Canopy edge,2018-08-27T15:20:00Z,Flood tide,30.2,0.047,0.107,0.025,0.022,0.139
3,Canopy interior,2018-08-27T15:20:00Z,Flood tide,30.2,0.019,0.107,0.015,0.004,0.105
4,Control,2018-08-27T15:20:00Z,Flood tide,30.2,0.117,0.101,0.043,0.074,0.172
1,Sand,2018-08-27T21:40:00Z,Ebb tide,27.5,0.114,0.114,0.037,0.077,0.159
2,Canopy edge,2018-08-27T21:40:00Z,Ebb tide,27.5,0.059,0.130,0.028,0.032,0.142
3,Canopy interior,2018-08-27T21:40:00Z,Ebb tide,27.5,0.025,0.130,0.023,0.002,0.120
4,Control,2018-08-27T21:40:00Z,Ebb tide,27.5,0.263,0.114,0.063,0.201,0.436
